session_id,client_id,turn_number,sender,receiver,message,timestamp
562c3627-8239-4102-9ef7-bd45dda3e7b3,d9e252f9-a24a-4814-9bf0-89079b2cf49b,1,representative,client,"Domino's Pizza, I am extremely disappointed with the quality of my pizza. The crust was burnt, the cheese was not melted evenly, and the toppings were not evenly distributed. I expect better from a well-known pizza chain like yours. Please address these issues.",2024-04-22 03:12:27.838
562c3627-8239-4102-9ef7-bd45dda3e7b3,d9e252f9-a24a-4814-9bf0-89079b2cf49b,1,client,representative,sorry,2024-04-22 03:12:50.378
562c3627-8239-4102-9ef7-bd45dda3e7b3,d9e252f9-a24a-4814-9bf0-89079b2cf49b,2,representative,client,"Sorry? That's it? A simple ""sorry"" is supposed to fix my ruined dinner? How about you actually do something useful and tell me how you're gonna make this right? This is unacceptable.",2024-04-22 03:12:50.378
562c3627-8239-4102-9ef7-bd45dda3e7b3,d9e252f9-a24a-4814-9bf0-89079b2cf49b,2,client,representative,sorry,2024-04-22 03:13:11.674
562c3627-8239-4102-9ef7-bd45dda3e7b3,d9e252f9-a24a-4814-9bf0-89079b2cf49b,3,representative,client,"Is your vocabulary limited to just ""sorry""? What kind of customer service is this? I want answers and solutions, not a broken record of apologies! What are you going to do about my terrible pizza experience?",2024-04-22 03:13:11.674
5fd6ff35-9f0e-4512-b5e3-acf005e22f88,d2574e8d-9b3b-4d86-98f9-8f9bddde871c,1,representative,client,"No product specified, please provide a product for me to file a complaint about.",2024-04-24 18:52:48.931
15df45ec-c6c9-42a8-990a-dc70291a571d,e8bdd5b5-e994-48f6-922b-5a8273b0ca9e,1,representative,client,I am trying to reach customer service for your company and I can't seem to find a way to contact you. This is extremely frustrating and inconvenient. Please provide a clear and accessible way for customers to reach you.,2024-04-29 19:43:00.631
15df45ec-c6c9-42a8-990a-dc70291a571d,82c2cf86-6766-49a4-bb29-1fc2616f840b,1,representative,client,"Complaint: I am very disappointed with the pizza I received from your restaurant. It was overcooked and tasted burnt. I have been a loyal customer for years, but this experience has left a bad taste in my mouth. Please address this issue and ensure better quality control in the future.",2024-04-29 19:45:02.194
cccae32a-a754-4f04-9902-26a70de9be39,6005434c-be2f-47b1-adfa-2a0059cb756e,1,representative,client,"I'm not sure why I'm even bothering to reach out for support, as I've never had a good experience with this company. But I just wanted to let you know that your product is a complete waste of money.",2024-04-29 22:02:11.086
cccae32a-a754-4f04-9902-26a70de9be39,377199f6-b871-43f0-8685-8e9de0a0e97f,1,representative,client,Domino's I ordered a pizza from you guys and it was delivered an hour late and cold. This is not the first time this has happened and I am extremely disappointed with the service. Please improve your delivery times and quality control.,2024-04-29 22:03:53.445
cccae32a-a754-4f04-9902-26a70de9be39,48c575fc-aeae-450c-bfe5-032fede9c4fa,1,representative,client,"This pizza from Domino's was supposed to be a large, but it's barely the size of a medium. And the toppings are all lopsided and barely covering the crust. Disappointed and still hungry.",2024-04-29 22:07:00.494
cccae32a-a754-4f04-9902-26a70de9be39,2d583c6a-d8bb-4a82-be49-33db693a6d22,1,representative,client,"Hey Dominos, I just had a really bad experience with your pizza. It was overcooked and tasted burnt. I was really looking forward to it but now I'm disappointed. Can you please make sure this doesn't happen again? Thanks.",2024-04-29 22:07:55.487
fc3aaab8-92de-454e-bb0c-7dd0b2e6862b,21802232-78b9-44b1-8047-1e89338d7450,1,representative,client,"Hi, I am having trouble with your website. Whenever I try to access it, it keeps crashing. Can you please fix this issue? Thanks.",2024-04-29 22:12:06.716
fc3aaab8-92de-454e-bb0c-7dd0b2e6862b,33456742-0dee-4a00-98b4-4b175d7317be,1,representative,client,"Hello, I just received my pizza and I am extremely disappointed. The toppings are all wrong and the crust is burnt. This is unacceptable. Please fix this.",2024-04-29 22:12:14.693
b347027f-6360-4f2e-b172-4bed46c20002,4bcc7d96-4de6-4a1c-a2bb-ba8d561c63a4,1,representative,client,"I am sorry, I cannot generate a complaint for a product that does not exist. Please provide a valid product name.",2024-04-29 22:14:16.357
b347027f-6360-4f2e-b172-4bed46c20002,31f3aa27-607b-49d2-a215-b6fd3d818ed9,1,representative,client,I ordered a large pizza with extra cheese and I barely got any cheese on it. What kind of scam is this? I want my money back!,2024-04-29 22:14:27.217
d6063db1-ee80-4ec7-a448-0431923f6f58,7dad62a4-17b7-4f45-9270-ff29c364808d,1,representative,client,"Excuse me, I have been waiting for over an hour for assistance and no one has helped me. Is there anyone who can help me?",2024-04-29 22:19:07.605
d6063db1-ee80-4ec7-a448-0431923f6f58,ae1b5032-cc11-42c4-a049-5c71197a794a,1,representative,client,It's been over an hour and my pizza still hasn't arrived. This is unacceptable. I'm starving and I expected better service from your company.,2024-04-29 22:19:14.007
d6063db1-ee80-4ec7-a448-0431923f6f58,ae1b5032-cc11-42c4-a049-5c71197a794a,1,client,representative,sorry,2024-04-29 22:19:23.459
d6063db1-ee80-4ec7-a448-0431923f6f58,ae1b5032-cc11-42c4-a049-5c71197a794a,2,representative,client,"Oh, it's alright. I understand things can get busy. Could you please check on the status of my order for me? I just want to know how much longer it might be. Thank you.",2024-04-29 22:19:23.459
dd6536d8-ebbe-4272-b61c-cfcb5c50cdff,5778187e-d9db-443f-b57d-2458e0ea9955,1,representative,client,I am extremely disappointed with the lack of customer service from this company. I have been trying to contact someone for days and have received no response. This is unacceptable.,2024-04-29 22:22:55.337
dd6536d8-ebbe-4272-b61c-cfcb5c50cdff,7940e964-0fee-41a4-b989-41e3ac064db1,1,representative,client,I ordered a large pepperoni pizza with extra cheese and it arrived with barely any toppings and undercooked crust. This is unacceptable.,2024-04-29 22:23:04.101
dd6536d8-ebbe-4272-b61c-cfcb5c50cdff,7940e964-0fee-41a4-b989-41e3ac064db1,1,client,representative,sorry,2024-04-29 22:23:18.532
dd6536d8-ebbe-4272-b61c-cfcb5c50cdff,7940e964-0fee-41a4-b989-41e3ac064db1,2,representative,client,"Oh, ""sorry""? That's it? You think a measly sorry is gonna fix my ruined dinner? What kind of joke is this? I want a real solution, not your pathetic apologies.",2024-04-29 22:23:18.532
5b505999-03d8-43d2-9a9f-6281b7e70a9c,628a629d-4c6d-4087-bd62-5839c5ba21a6,1,representative,client,"Sorry, I did not understand the product in this case. Could you please provide more information so I can assist you better?",2024-04-30 23:23:32.496
5b505999-03d8-43d2-9a9f-6281b7e70a9c,1f2c7c78-6841-4567-86f2-b3d4f1a0427f,1,representative,client,Domino's Pizza I ordered the large pizza with extra cheese and toppings but it arrived with barely any toppings and the cheese was barely melted. Disappointing.,2024-04-30 23:24:22.013
5b505999-03d8-43d2-9a9f-6281b7e70a9c,1f2c7c78-6841-4567-86f2-b3d4f1a0427f,1,client,representative,sorry,2024-04-30 23:24:37.282
5b505999-03d8-43d2-9a9f-6281b7e70a9c,1f2c7c78-6841-4567-86f2-b3d4f1a0427f,2,representative,client,"Oh, it's alright. I understand things can get busy. However, I was really looking forward to enjoying that pizza. Is there anything we can do to address this issue?",2024-04-30 23:24:37.282
5b505999-03d8-43d2-9a9f-6281b7e70a9c,459336ea-9cbe-4816-8089-e294f3e6ed2e,1,representative,client,"Seriously Domino's, you advertise a delivery time of 30 minutes or less and after waiting an hour and a half my pizza is still not here. This is unacceptable.",2024-04-30 23:24:42.625
5b505999-03d8-43d2-9a9f-6281b7e70a9c,459336ea-9cbe-4816-8089-e294f3e6ed2e,1,client,representative,sorry,2024-04-30 23:24:52.256
5b505999-03d8-43d2-9a9f-6281b7e70a9c,459336ea-9cbe-4816-8089-e294f3e6ed2e,2,representative,client,"I appreciate your apology, but I'm really frustrated. Can you help me understand what's causing the delay and when I can expect my pizza to arrive?",2024-04-30 23:24:52.256
5b505999-03d8-43d2-9a9f-6281b7e70a9c,e08165a6-8134-4847-936e-3ba8a896d376,1,representative,client,"Dominos, your pizza arrived cold and soggy. This is unacceptable. Please ensure that your delivery drivers take better care of the food during transit.",2024-04-30 23:25:02.080
5b505999-03d8-43d2-9a9f-6281b7e70a9c,e08165a6-8134-4847-936e-3ba8a896d376,1,client,representative,sorry,2024-04-30 23:25:19.897
5b505999-03d8-43d2-9a9f-6281b7e70a9c,e08165a6-8134-4847-936e-3ba8a896d376,2,representative,client,"Oh, I appreciate your quick response. Yes, I was hoping to address an issue with my most recent order. It arrived cold and not as fresh as I expected. Could you please assist me in resolving this matter?",2024-04-30 23:25:19.897
5b505999-03d8-43d2-9a9f-6281b7e70a9c,49cc999d-2355-4ad6-9937-5f5bd0c05c07,1,representative,client,"Pizza Hut, I ordered a pepperoni pizza and it arrived with no pepperoni on it. This is not the first time this has happened and I am extremely disappointed. Please ensure my orders are correct in the future.",2024-04-30 23:25:32.180
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,37d0c5d4-5f54-4d0d-ab12-eeb40bfc39db,1,representative,client,I am having trouble finding a customer service number for your company. Can you please provide one for me?,2024-05-01 18:18:43.886
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,3304678f-d92c-4d14-b36a-6b5fcfb5af24,1,representative,client,Pizza Hut just delivered my pizza with the wrong toppings. This is the third time this has happened and I am beyond frustrated. I expect better from a well-known chain like yours.,2024-05-01 18:19:54.499
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,3304678f-d92c-4d14-b36a-6b5fcfb5af24,1,client,representative,sorry,2024-05-01 18:20:21.089
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,3304678f-d92c-4d14-b36a-6b5fcfb5af24,2,representative,client,"Oh, I understand mistakes happen, but it's becoming a pattern. My order was supposed to be a large pizza with pepperoni, mushrooms, and onions, but I received a pizza with just cheese. Is there a way to rectify this?",2024-05-01 18:20:21.089
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,cf64570c-decf-40b5-b6a7-d706bb917f81,1,representative,client,"Papa John's, I ordered a pizza last night and it was completely burnt! It was inedible and ruined my dinner. I am extremely disappointed and would like a refund or a replacement pizza.",2024-05-01 18:20:41.465
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,53b101ba-730b-4165-bc92-57fb74717762,1,representative,client,"Okay seriously, I ordered a pizza an hour ago and it still hasn't arrived. This is unacceptable. I'm starving and now I have to wait even longer for my food. Get it together, pizzeria.",2024-05-01 18:37:00.897
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,53b101ba-730b-4165-bc92-57fb74717762,1,client,representative,sorry,2024-05-01 18:37:10.861
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,53b101ba-730b-4165-bc92-57fb74717762,2,representative,client,"Sorry? That's all you've got? A sorry isn't going to fill my stomach, is it? What are you going to do about my pizza? This service is a joke.",2024-05-01 18:37:10.861
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,5554671f-71ae-4831-9503-4a4b939b5dac,1,representative,client,Domino's I ordered a pepperoni pizza and it arrived with no pepperoni! Unacceptable.,2024-05-01 18:37:23.201
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,5554671f-71ae-4831-9503-4a4b939b5dac,1,client,representative,sorry,2024-05-01 18:37:35.027
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,5554671f-71ae-4831-9503-4a4b939b5dac,2,representative,client,"Oh, no problem! I just wanted to report that my pizza arrived without the pepperoni I ordered. Could you help me with this issue?",2024-05-01 18:37:35.027
18a292b3-fd7d-4a34-99ea-a8db4dac11ce,754aaeec-9984-4046-b4b8-5bbc6ddb699d,1,representative,client,I ordered a pizza from your restaurant last night and it arrived completely cold. This is unacceptable and ruined our dinner.,2024-05-01 18:37:47.517
0996e012-02a4-4b87-9751-3bd705b8ef6c,ab33bb0f-2fb6-4037-a60f-e9584e250861,1,representative,client,This pizza tastes terrible. The cheese is rubbery and the crust is soggy. Definitely not worth the price. I am very disappointed.,2024-05-01 18:59:40.545
0996e012-02a4-4b87-9751-3bd705b8ef6c,bbc7b361-3405-4523-b1bb-b269fc6edb3c,1,representative,client,I ordered a pizza from your store and it arrived cold and soggy. This is unacceptable and I expect a full refund.,2024-05-01 18:59:40.568
